股票代码,股票名称,命中策略数,来源策略,综合评分,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20
002758,浙农股份,1,Boll,50,7.58,12,12128.0,7.58,7.2,7.96,7.58
002761,浙江建投,1,Boll,50,7.13,12,12121.0,7.13,6.77,7.49,7.13
002763,汇洁股份,1,Boll,50,7.57,12,12112.0,7.57,7.19,7.95,7.57
002765,蓝黛科技,1,Boll,50,7.59,12,12144.0,7.59,7.21,7.97,7.59
002773,康弘药业,1,Boll,50,19.91,12,11946.0,19.91,18.91,20.91,19.91
002788,鹭燕医药,1,Boll,50,10.68,12,11748.0,10.68,10.15,11.21,10.68
002791,坚朗五金,1,Boll,50,14.39,12,11512.0,14.39,13.67,15.11,14.39
002797,第一创业,1,Boll,50,6.15,12,12300.0,6.15,5.84,6.46,6.15
002802,洪汇新材,1,Boll,50,11.83,12,11830.0,11.83,11.24,12.42,11.83
002813,路畅科技,1,Boll,50,20.8,12,12480.0,20.8,19.76,21.84,20.8
002818,富森美,1,Boll,50,10.84,12,11924.0,10.84,10.3,11.38,10.84
002819,东方中科,1,Boll,50,20.91,12,12546.0,20.91,19.86,21.96,20.91
002829,星网宇达,1,Boll,50,18.91,12,11346.0,18.91,17.96,19.86,18.91
002833,弘亚数控,1,Boll,50,17.43,12,12201.0,17.43,16.56,18.3,17.43
002835,同为股份,1,Boll,50,12.25,12,12250.0,12.25,11.64,12.86,12.25
002836,新宏泽,1,Boll,50,10.35,12,12420.0,10.35,9.83,10.87,10.35
002852,道道全,1,Boll,50,7.6,12,12160.0,7.6,7.22,7.98,7.6
002862,实丰文化,1,Boll,50,14.83,12,11864.0,14.83,14.09,15.57,14.83
002864,盘龙药业,1,Boll,50,27.05,12,10820.0,27.05,25.7,28.4,27.05
002867,周大生,1,Boll,50,11.98,12,11980.0,11.98,11.38,12.58,11.98
002879,长缆科技,1,Boll,50,14.33,12,11464.0,14.33,13.61,15.05,14.33
002882,金龙羽,1,Boll,50,19.78,12,11868.0,19.78,18.79,20.77,19.78
002884,凌霄泵业,1,Boll,50,15.93,12,12744.0,15.93,15.13,16.73,15.93
002887,绿茵生态,1,Boll,50,11.7,12,11700.0,11.7,11.11,12.29,11.7
002892,科力尔,1,Boll,50,9.95,12,11940.0,9.95,9.45,10.45,9.95
002899,英派斯,1,Boll,50,24.05,12,12025.0,24.05,22.85,25.25,24.05
002907,华森制药,1,Boll,50,11.69,12,11690.0,11.69,11.11,12.27,11.69
002908,德生科技,1,Boll,50,7.06,12,12002.0,7.06,6.71,7.41,7.06
002919,名臣健康,1,Boll,50,19.76,12,11856.0,19.76,18.77,20.75,19.76
002921,联诚精密,1,Boll,50,23.22,12,11610.0,23.22,22.06,24.38,23.22
002926,华西证券,1,Boll,50,7.76,12,11640.0,7.76,7.37,8.15,7.76
002928,华夏航空,1,Boll,50,6.56,12,11808.0,6.56,6.23,6.89,6.56
002933,新兴装备,1,Boll,50,27.82,12,11128.0,27.82,26.43,29.21,27.82
002939,长城证券,1,Boll,50,7.84,12,11760.0,7.84,7.45,8.23,7.84
002940,昂利康,1,Boll,50,27.36,12,10944.0,27.36,25.99,28.73,27.36
002945,华林证券,1,Boll,50,13.34,12,12006.0,13.34,12.67,14.01,13.34
002946,新乳业,1,Boll,50,16.09,12,11263.0,16.09,15.29,16.89,16.09
002949,华阳国际,1,Boll,50,11.25,12,12375.0,11.25,10.69,11.81,11.25
002961,瑞达期货,1,Boll,50,18.45,12,12915.0,18.45,17.53,19.37,18.45
002976,瑞玛精密,1,Boll,50,22.99,12,11495.0,22.99,21.84,24.14,22.99
002978,安宁股份,1,Boll,50,26.07,12,13035.0,26.07,24.77,27.37,26.07
002984,森麒麟,1,Boll,50,13.97,12,12573.0,13.97,13.27,14.67,13.97
002987,京北方,1,Boll,50,11.41,12,12551.0,11.41,10.84,11.98,11.41
002988,豪美新材,1,Boll,50,24.49,12,12245.0,24.49,23.27,25.71,24.49
003006,百亚股份,1,Boll,50,15.09,12,12072.0,15.09,14.34,15.84,15.09
003011,海象新材,1,Boll,50,19.23,12,11538.0,19.23,18.27,20.19,19.23
003016,欣贺股份,1,Boll,50,6.82,12,12276.0,6.82,6.48,7.16,6.82
003019,宸展光电,1,Boll,50,30.6,12,12240.0,30.6,29.07,32.13,30.6
003020,立方制药,1,Boll,50,15.31,12,12248.0,15.31,14.54,16.08,15.31
003029,吉大正元,1,Boll,50,17.56,12,12292.0,17.56,16.68,18.44,17.56
003042,中农联合,1,Boll,50,13.7,12,12330.0,13.7,13.01,14.38,13.7
600004,白云机场,1,Boll,50,8.02,12,12030.0,8.02,7.62,8.42,8.02
600006,东风股份,1,Boll,50,5.64,12,11844.0,5.64,5.36,5.92,5.64
600009,上海机场,1,Boll,50,23.2,12,11600.0,23.2,22.04,24.36,23.2
600018,上港集团,1,Boll,50,4.97,12,11928.0,4.97,4.72,5.22,4.97
600029,南方航空,1,Boll,50,5.02,12,12048.0,5.02,4.77,5.27,5.02
600037,歌华有线,1,Boll,50,6.46,12,12274.0,6.46,6.14,6.78,6.46
600051,宁波联合,1,Boll,50,6.22,12,11818.0,6.22,5.91,6.53,6.22
600054,黄山旅游,1,Boll,50,10.69,12,11759.0,10.69,10.16,11.22,10.69
600059,古越龙山,1,Boll,50,7.71,12,12336.0,7.71,7.32,8.1,7.71
600061,国投资本,1,Boll,50,6.04,12,12080.0,6.04,5.74,6.34,6.04
600072,中船科技,1,Boll,50,9.58,12,12454.0,9.58,9.1,10.06,9.58
600073,光明肉业,1,Boll,50,4.96,12,11904.0,4.96,4.71,5.21,4.96
600079,ST人福,1,Boll,50,17.03,12,11921.0,17.03,16.18,17.88,17.03
600085,同仁堂,1,Boll,50,23.77,12,11885.0,23.77,22.58,24.96,23.77
600097,开创国际,1,Boll,50,8.53,12,11942.0,8.53,8.1,8.96,8.53
600098,广州发展,1,Boll,50,6.6893952,12,12041.0,6.6893952,6.35,7.02,6.69
600125,铁龙物流,1,Boll,50,5.42,12,11924.0,5.42,5.15,5.69,5.42
600126,杭钢股份,1,Boll,50,6.64,12,11952.0,6.64,6.31,6.97,6.64
600127,金健米业,1,Boll,50,5.79,12,12159.0,5.79,5.5,6.08,5.79
600128,苏豪弘业,1,Boll,50,8.48,12,11872.0,8.48,8.06,8.9,8.48
600133,东湖高新,1,Boll,50,7.78,12,11670.0,7.78,7.39,8.17,7.78
600137,浪莎股份,1,Boll,50,18.24,12,12768.0,18.24,17.33,19.15,18.24
600138,中青旅,1,Boll,50,7.27,12,12359.0,7.27,6.91,7.63,7.27
600155,华创云信,1,Boll,50,5.2,12,11960.0,5.2,4.94,5.46,5.2
600158,中体产业,1,Boll,50,8.55,12,11970.0,8.55,8.12,8.98,8.55
600161,天坛生物,1,Boll,50,12.36,12,12360.0,12.36,11.74,12.98,12.36
600171,上海贝岭,1,Boll,50,26.11524375,12,13058.0,26.11524375,24.81,27.42,26.12
600173,卧龙新能,1,Boll,50,6.49,12,11682.0,6.49,6.17,6.81,6.49
600182,S佳通,1,Boll,50,13.43,12,12087.0,13.43,12.76,14.1,13.43
600196,复星医药,1,Boll,50,21.78,12,13068.0,21.78,20.69,22.87,21.78
600210,紫江企业,1,Boll,50,6.36,12,12084.0,6.36,6.04,6.68,6.36
600212,绿能慧充,1,Boll,50,5.8,12,12180.0,5.8,5.51,6.09,5.8
600215,派斯林,1,Boll,50,6.25,12,11875.0,6.25,5.94,6.56,6.25
600218,全柴动力,1,Boll,50,7.89,12,11835.0,7.89,7.5,8.28,7.89
600235,民丰特纸,1,Boll,50,5.57,12,12254.0,5.57,5.29,5.85,5.57
600241,时代万恒,1,Boll,50,7.24,12,12308.0,7.24,6.88,7.6,7.24
600250,南京商旅,1,Boll,50,8.7,12,12180.0,8.7,8.26,9.13,8.7
600258,首旅酒店,1,Boll,50,12.05,12,12050.0,12.05,11.45,12.65,12.05
600262,北方股份,1,Boll,50,20.72,12,12432.0,20.72,19.68,21.76,20.72
600268,国电南自,1,Boll,50,11.71,12,11710.0,11.71,11.12,12.3,11.71
600271,航天信息,1,Boll,50,6.87,12,11679.0,6.87,6.53,7.21,6.87
600273,嘉化能源,1,Boll,50,6.94,12,11798.0,6.94,6.59,7.29,6.94
600292,电投水电,1,Boll,50,13.19,12,11871.0,13.19,12.53,13.85,13.19
