序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
399,2848,*ST高斯,8.47,8.87%,49.17%,65917900.0
400,2719,麦趣尔,9.6,8.84%,44.13%,14099900.0
401,2379,宏创控股,18.22,8.84%,19.98%,157000000.0
402,301468,博盈特焊,27.72,8.83%,37.85%,29654300.0
405,791,甘肃能源,6.97,8.74%,14.84%,103000000.0
411,600469,风神股份,6.3,8.62%,12.92%,1242000.0
412,300537,广信材料,26.6,8.62%,119.26%,85485600.0
415,600569,安阳钢铁,2.29,8.53%,11.00%,47951100.0
416,688599,天合光能,18.07,8.53%,28.27%,550000000.0
417,603365,水星家纺,18.24,8.51%,9.02%,82268400.0
420,600882,妙可蓝多,26.61,8.48%,17.95%,71511000.0
421,300970,华绿生物,14.99,8.47%,49.70%,23944600.0
422,600926,杭州银行,16.4,8.47%,8.73%,1159000000.0
424,2700,万憬能源,7.31,8.46%,36.65%,29441500.0
425,688334,西高院,20.79,8.45%,41.31%,39978400.0
427,600970,中材国际,9.38,8.44%,12.14%,269000000.0
428,301039,中集车辆,9.65,8.43%,12.47%,166000000.0
429,2056,横店东磁,20.06,8.43%,43.21%,204999999.99999997
432,300414,中光防雷,13.2,8.37%,55.42%,41142500.0
433,2207,准油股份,8.42,8.37%,141.91%,88658400.0
435,601121,宝地矿业,7.14,8.35%,54.12%,11790900.0
438,300424,航新科技,16.52,8.26%,42.24%,110000000.00000001
440,300933,中辰股份,9.48,8.22%,75.07%,6645400.0
442,2807,江阴银行,4.87,8.22%,14.84%,258000000.0
444,2895,川恒股份,28.51,8.20%,28.73%,518000000.0
446,600546,山煤国际,10.96,8.19%,25.69%,229000000.0
449,601187,厦门银行,6.91,8.14%,16.40%,159000000.0
450,2163,海南发展,10.89,8.14%,58.65%,155000000.0
452,600022,山东钢铁,1.6,8.11%,13.73%,224000000.00000003
454,429,粤高速A,11.64,8.08%,9.62%,52410500.0
456,2204,大连重工,6.44,8.05%,31.70%,92676700.0
457,300044,ST赛为,4.18,8.01%,33.72%,217700.0
460,600993,马应龙,28.4,7.98%,19.77%,215000000.0
462,600428,中远海特,7.05,7.96%,15.48%,215000000.0
463,601608,中信重工,5.7,7.95%,15.31%,55624600.0
465,600997,开滦股份,7.17,7.82%,8.44%,81703400.0
468,2397,梦洁股份,3.86,7.82%,25.97%,56186300.0
470,2240,盛新锂能,19.6,7.81%,55.40%,208000000.0
471,300673,佩蒂股份,18.68,7.79%,55.74%,49664799.99999999
472,601059,信达证券,20.0,7.76%,71.99%,590000000.0
473,2213,大为股份,20.28,7.76%,205.87%,42822800.0
479,600481,双良节能,6.57,7.70%,47.21%,294000000.0
480,601838,成都银行,18.51,7.68%,7.00%,592000000.0
481,600725,云维股份,3.65,7.67%,16.46%,30729400.0
483,425,徐工机械,11.15,7.63%,13.56%,781000000.0
484,603378,亚士创能,5.93,7.62%,26.60%,25568100.0
489,2792,通宇通讯,18.06,7.56%,76.83%,273000000.0
491,2318,久立特材,24.76,7.51%,17.62%,229999999.99999997
492,2110,三钢闽光,4.3,7.50%,10.78%,68345700.0
494,603500,祥和实业,11.82,7.45%,34.02%,34250700.0
498,600438,通威股份,23.6,7.42%,22.49%,1962000000.0
