序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
259,603045,福达合金,23.71,14.10%,22.94%,2279.51万
260,300043,星辉娱乐,7.0,14.01%,40.09%,2.76亿
261,688114,华大智造,77.58,14.00%,7.82%,1.25亿
262,2230,科大讯飞,60.89,14.00%,25.82%,47.77亿
263,600089,特变电工,27.37,13.80%,21.84%,-37.01亿
264,300192,科德教育,25.0,13.79%,53.39%,1.28亿
265,603813,*ST原尚,46.16,13.78%,4.39%,-2522.66万
266,603059,倍加洁,36.25,13.74%,12.21%,3350.11万
267,600399,抚顺特钢,7.22,13.70%,33.45%,1.63亿
268,688253,英诺特,35.98,13.68%,31.01%,1.03亿
269,300254,仟源医药,11.97,13.68%,35.22%,1.05亿
270,2187,广百股份,8.98,13.67%,45.43%,-4950.85万
271,603682,锦和商管,7.59,13.62%,14.78%,577.59万
272,300143,盈康生命,13.2,13.60%,27.09%,5116.33万
273,301050,雷电微力,65.87,13.59%,60.97%,3.07亿
274,603516,淳中科技,261.27,13.55%,12.11%,5.08亿
275,300536,农尚环境,8.98,13.53%,43.02%,-9586.17万
276,300725,药石科技,46.27,13.52%,45.29%,4.01亿
277,300494,盛天网络,14.3,13.49%,39.85%,2.11亿
278,300562,乐心医疗,16.0,13.48%,45.65%,1.47亿
279,688248,南网科技,54.58,13.47%,4.58%,706.89万
280,688039,当虹科技,62.72,13.40%,36.16%,873.06万
281,600807,济高发展,3.57,13.33%,31.97%,5093.24万
282,300271,华宇软件,8.5,13.33%,23.68%,2.12亿
283,300210,森远股份,10.12,13.33%,20.00%,1.10亿
284,300842,帝科股份,72.13,13.25%,31.70%,-1.55亿
285,300033,同花顺,393.31,13.24%,23.71%,38.51亿
286,300288,朗玛信息,15.88,13.19%,42.33%,1.68亿
287,300456,赛微电子,59.69,13.16%,44.72%,1.85亿
288,688091,上海谊众,58.68,13.13%,13.78%,5611.01万
289,688207,格灵深瞳,18.18,13.06%,18.03%,8626.65万
290,300662,科锐国际,30.07,13.05%,20.02%,1.07亿
291,2364,中恒电气,33.09,13.05%,46.23%,-6295.40万
292,2135,东南网架,5.63,13.05%,12.23%,5492.03万
293,603057,紫燕食品,28.0,13.04%,14.32%,1.04亿
294,2856,美芝股份,14.3,13.04%,33.03%,-1648.64万
295,2639,雪人集团,27.31,13.04%,141.65%,-8.88亿
296,2172,澳洋健康,4.6,13.02%,14.27%,-508.81万
297,300724,捷佳伟创,117.68,12.98%,37.41%,4.09亿
298,300629,新劲刚,29.9,12.96%,79.67%,-4661.30万
299,601126,四方股份,35.15,12.95%,14.62%,2.67亿
300,300406,九强生物,15.23,12.81%,13.32%,1.31亿
301,688315,诺禾致源,15.96,12.79%,9.95%,5835.11万
302,603334,丰倍生物,50.29,12.76%,88.70%,9107.30万
303,301638,南网数字,22.88,12.71%,80.54%,1.23亿
304,2649,博彦科技,15.08,12.71%,35.98%,4.08亿
305,300878,维康药业,33.18,12.70%,20.90%,-3885.02万
306,600662,外服控股,5.68,12.70%,3.09%,-2791.63万
307,300626,华瑞股份,17.18,12.66%,31.05%,-1439.42万
308,605003,众望布艺,33.7,12.63%,12.62%,-3309.55万
309,2881,美格智能,51.36,12.63%,37.04%,-2.28亿
310,688011,新光光电,68.92,12.61%,22.73%,1613.23万
311,600550,保变电气,13.09,12.55%,33.05%,-1.55亿
312,2005,ST德豪,2.96,12.55%,4.93%,-674.82万
313,601212,白银有色,6.55,12.54%,13.85%,7.31亿
314,892,欢瑞世纪,8.61,12.40%,49.31%,1.67亿
315,688191,智洋创新,36.29,12.39%,7.91%,7226.73万
316,2451,摩恩电气,12.35,12.37%,67.62%,-2.36亿
317,301120,新特电气,21.91,12.36%,59.36%,-1454.96万
318,300133,华策影视,9.64,12.35%,44.67%,4.82亿
319,688768,容知日新,50.81,12.34%,11.88%,4700.44万
320,600589,大位科技,9.89,12.26%,84.85%,1.13亿
321,600759,洲际油气,3.58,12.23%,56.78%,-3.05亿
322,300654,世纪天鸿,11.49,12.21%,38.50%,1.38亿
323,2207,准油股份,9.02,12.19%,60.16%,-5033.77万
324,300413,芒果超媒,28.1,12.18%,18.78%,2.86亿
325,300359,全通教育,6.08,12.18%,18.10%,7278.22万
326,301548,崇德科技,64.91,12.17%,51.67%,1.32亿
327,688698,伟创电气,106.03,12.12%,13.18%,7521.93万
328,300805,电声股份,12.53,12.08%,27.27%,5799.60万
329,2899,英派斯,31.95,12.07%,15.13%,-787.72万
330,301087,可孚医疗,60.5,12.04%,19.85%,-8579.96万
331,300299,富春股份,8.38,12.03%,48.11%,2.13亿
332,300738,奥飞数据,23.19,11.97%,45.73%,11.76亿
333,688073,毕得医药,72.93,11.96%,12.77%,5376.18万
334,300460,ST惠伦,8.91,11.93%,23.59%,374.55万
335,600549,厦门钨业,49.03,11.92%,13.15%,2.89亿
336,301301,川宁生物,12.04,11.90%,24.29%,3.19亿
337,688005,容百科技,37.35,11.89%,19.64%,2.63亿
338,301299,卓创资讯,62.36,11.82%,23.75%,9271.12万
339,600547,山东黄金,46.27,11.82%,4.42%,5.94亿
340,2945,华林证券,18.92,11.82%,11.34%,1.36亿
341,688333,铂力特,124.27,11.81%,28.93%,1.98亿
342,301248,杰创智能,41.87,11.80%,48.91%,1136.78万
343,688809,强一股份,361.0,11.76%,84.29%,1.70亿
344,300807,天迈科技,60.5,11.73%,38.74%,6931.98万
345,2354,天娱数科,7.74,11.69%,56.45%,9.61亿
346,688066,航天宏图,42.56,11.68%,66.28%,1.94亿
347,300409,道氏技术,34.35,11.67%,81.13%,1018.90万
348,2555,三七互娱,29.94,11.67%,32.73%,12.97亿
349,603150,万朗磁塑,44.0,11.65%,18.60%,5075.08万
350,600397,江钨装备,9.2,11.65%,19.05%,-4715.57万
351,603189,网达软件,22.23,11.65%,21.09%,1.82亿
352,2838,道恩股份,27.72,11.64%,10.44%,1.45亿
353,803,山高环能,8.74,11.62%,29.92%,-1.61亿
354,603602,纵横通信,16.54,11.61%,34.99%,3520.67万
355,300871,回盛生物,25.06,11.58%,26.75%,5480.19万
356,688292,浩瀚深度,31.03,11.54%,30.62%,1970.05万
357,2582,好想你,13.34,11.54%,48.37%,3086.31万
358,2488,金固股份,11.5,11.54%,36.80%,1.95亿
359,605116,奥锐特,31.53,11.53%,10.76%,7.94万
360,2173,创新医疗,35.11,11.50%,126.01%,-7253.50万
361,600170,上海建工,3.04,11.36%,15.24%,-1.13亿
362,605288,凯迪股份,109.27,11.35%,8.52%,-4157.59万
363,2243,力合科创,11.9,11.32%,18.56%,1.02亿
364,603282,亚光股份,22.88,11.28%,15.18%,-1622.77万
365,300892,品渥食品,35.12,11.28%,36.20%,1.24亿
366,603608,天创时尚,10.36,11.28%,39.35%,3631.85万
367,688117,圣诺生物,46.1,11.22%,17.68%,9851.22万
368,688023,安恒信息,59.6,11.19%,23.46%,1.84亿
369,300002,神州泰岳,13.15,11.16%,30.91%,10.15亿
370,300943,春晖智控,24.18,11.12%,65.95%,2808.04万
371,2849,威星智能,17.72,11.10%,31.29%,-6103.21万
372,688586,江航装备,15.62,11.10%,19.54%,204.57万
373,300642,透景生命,21.94,10.98%,35.79%,-3176.27万
374,2029,七匹狼,14.16,10.97%,36.35%,-9421.15万
375,607,华媒控股,4.76,10.96%,25.07%,9838.49万
376,612,焦作万方,12.97,10.95%,24.95%,8128.30万
377,601949,中国出版,7.3,10.94%,7.84%,4569.85万
378,2848,*ST高斯,10.85,10.94%,18.57%,-2812.38万
379,605398,新炬网络,33.0,10.92%,27.31%,-9019.54万
380,688182,灿勤科技,34.8,10.90%,10.65%,4429.45万
381,603708,家家悦,13.14,10.89%,14.95%,5287.66万
382,300687,赛意信息,27.94,10.87%,37.69%,2.58亿
383,2098,浔兴股份,11.03,10.85%,33.28%,6669.28万
384,1260,坤泰股份,22.02,10.82%,37.53%,-3222.02万
385,2490,山东墨龙,8.22,10.78%,49.30%,-6450.73万
386,603337,杰克科技,48.54,10.77%,4.06%,1.58亿
387,600800,渤海化学,3.91,10.76%,18.12%,-1.93亿
388,300703,创源股份,28.1,10.76%,31.30%,-1393.96万
389,688139,海尔生物,35.87,10.71%,5.96%,8547.46万
390,301348,蓝箭电子,24.06,10.67%,45.74%,3264.76万
391,688435,英方软件,53.79,10.66%,54.48%,-1867.68万
392,688658,悦康药业,30.03,10.65%,12.06%,-2897.88万
393,300912,凯龙高科,19.44,10.64%,37.63%,3567.79万
394,600729,重庆百货,28.8,10.64%,33.66%,4.36亿
395,603119,浙江荣泰,117.6,10.63%,25.84%,4.36亿
396,2296,辉煌科技,12.5,10.62%,72.07%,-1.64亿
397,603402,陕西旅游,146.0,10.61%,158.96%,1.78亿
398,300533,冰川网络,40.12,10.61%,43.34%,2.27亿
399,516,国际医学,5.63,10.61%,18.05%,-1.33亿
400,600268,国电南自,12.36,10.55%,18.33%,-274.62万
401,300285,国瓷材料,32.59,10.55%,28.62%,-3182.90万
402,300239,东宝生物,6.63,10.50%,20.38%,1.02亿
403,605488,福莱新材,37.2,10.48%,17.18%,2.38亿
404,601595,上海电影,31.87,10.47%,14.46%,3.56亿
405,688327,云从科技,16.79,10.46%,28.97%,3.48亿
406,2620,ST瑞和,6.02,10.46%,6.85%,-1965.03万
407,532,华金资本,17.37,10.43%,36.59%,-2808.09万
408,301520,万邦医药,46.21,10.42%,33.60%,481.27万
409,603889,新澳股份,8.9,10.42%,8.46%,4567.08万
410,601811,新华文轩,15.44,10.36%,4.72%,8993.12万
411,300085,银之杰,45.51,10.33%,37.38%,18.27亿
412,2882,金龙羽,37.12,10.28%,26.61%,1.01亿
413,2738,中矿资源,89.33,10.28%,13.40%,4.96亿
414,301185,鸥玛软件,21.36,10.27%,28.17%,9204.13万
415,78,海王生物,4.08,10.27%,23.06%,-2.03亿
416,603356,华菱精工,16.98,10.19%,21.24%,-736.99万
417,300638,广和通,33.12,10.18%,51.73%,7.08亿
418,301668,昊创瑞通,55.48,10.17%,44.93%,-260.90万
419,300353,东土科技,25.23,10.17%,30.50%,1.20亿
420,301302,华如科技,26.13,10.16%,27.09%,9080.15万
421,600452,涪陵电力,10.63,10.16%,12.77%,1.84亿
422,300909,汇创达,52.05,10.14%,23.79%,2581.55万
423,600026,中远海能,13.81,10.13%,6.69%,4.61亿
424,300426,华智数媒,9.24,10.13%,19.14%,-195.21万
425,688265,南模生物,49.44,10.11%,9.25%,-413.94万
426,603696,安记食品,25.5,10.10%,67.53%,-3659.72万
427,605155,西大门,18.66,10.09%,15.31%,1192.18万
428,603630,拉芳家化,22.58,10.09%,11.17%,2958.39万
429,301275,汉朔科技,59.71,10.06%,63.45%,4232.99万
430,603112,华翔股份,18.92,10.06%,11.47%,1.43亿
431,688053,ST思科瑞,51.08,10.04%,20.33%,-3640.84万
432,301052,果麦文化,44.21,10.03%,75.61%,-4401.47万
433,688083,中望软件,79.0,10.03%,10.56%,1.26亿
434,2878,元隆雅图,20.86,10.02%,48.97%,2.14亿
435,2298,中电鑫龙,12.2,10.01%,47.18%,2199.21万
436,301558,三态股份,9.24,10.00%,43.63%,9505.65万
437,605056,咸亨国际,18.44,9.96%,6.22%,4180.48万
438,603011,合锻智能,29.49,9.96%,64.81%,8811.60万
439,300051,琏升科技,7.95,9.96%,64.23%,-1.37亿
440,300081,恒信东方,5.97,9.94%,33.05%,8625.67万
441,300036,超图软件,21.25,9.93%,42.17%,3.93亿
442,2519,银河电子,10.42,9.92%,54.43%,-1.99亿
443,600673,东阳光,30.28,9.91%,10.28%,5.54亿
