序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
3894,885,城发环境,15.01,0.33%,5.77%,-27624100.0
3895,402,金融街,3.03,0.33%,5.66%,-44409300.0
3896,301246,宏源药业,15.57,0.32%,15.76%,-28480400.0
3897,688212,澳华内镜,50.21,0.32%,7.04%,-11235000.0
3898,600406,国电南瑞,21.86,0.32%,3.98%,-572000000.0
3899,2319,乐通股份,12.42,0.32%,14.93%,-20919300.0
3900,2275,桂林三金,15.46,0.32%,6.18%,-57687600.0
3901,301300,远翔新材,42.07,0.31%,29.44%,-25414400.0
3902,688529,豪森智能,22.51,0.31%,18.18%,-36245700.0
3903,1333,光华股份,22.43,0.31%,22.50%,-13590000.0
3904,601577,长沙银行,9.84,0.31%,2.54%,-78112800.0
3905,300159,*ST新研,3.26,0.31%,13.37%,-84174599.99999999
3906,301287,康力源,42.83,0.30%,59.68%,-10089800.0
3907,601121,宝地矿业,6.65,0.30%,18.82%,-46191700.0
3908,2309,中利集团,3.3,0.30%,10.89%,-35638100.0
3909,603086,先达股份,10.03,0.30%,51.52%,-234000000.0
3910,300016,北陆药业,9.98,0.30%,72.75%,-367000000.0
3911,409,云鼎科技,13.16,0.30%,43.94%,-234000000.0
3912,300564,筑博设计,17.27,0.29%,45.67%,-17912100.0
3913,603026,石大胜华,37.49,0.29%,9.68%,-51540500.0
3914,601555,东吴证券,10.48,0.29%,13.36%,-192000000.0
3915,600033,福建高速,3.5,0.29%,3.10%,-28472300.0
3916,600007,中国国贸,20.7,0.29%,1.34%,22969699.999999996
3917,801,四川九洲,17.55,0.29%,18.03%,-86020600.0
3918,32,深桑达A,24.57,0.29%,16.30%,-341000000.0
3919,600939,重庆建工,3.64,0.28%,4.73%,-55314000.0
3920,600405,动力源,7.2,0.28%,28.87%,-113999999.99999999
3921,600019,宝钢股份,7.15,0.28%,1.69%,-231999999.99999997
3922,2882,金龙羽,32.04,0.28%,45.20%,-220000000.00000003
3923,2072,凯瑞德,7.35,0.27%,14.77%,-26342700.0
3924,600987,航民股份,7.47,0.27%,3.98%,-1215300.0
3925,600967,内蒙一机,25.62,0.27%,41.79%,-1143000000.0
3926,600886,国投电力,14.74,0.27%,1.38%,-49996600.0
3927,600153,建发股份,11.21,0.27%,3.99%,-79530900.0
3928,600053,九鼎投资,18.4,0.27%,22.10%,-167000000.0
3929,300712,永福股份,25.71,0.27%,7.93%,-4185500.0
3930,300243,瑞丰高材,11.25,0.27%,18.36%,-28541700.0
3931,3816,中国广核,3.7,0.27%,1.63%,-290000000.0
3932,2951,金时科技,18.45,0.27%,28.18%,-280000000.0
3933,2900,哈三联,15.12,0.27%,33.71%,-72305700.0
3934,983,山西焦煤,7.3,0.27%,5.86%,-97869200.0
3935,688275,万润新能,47.0,0.26%,16.83%,-53459200.0
3936,300717,华信新材,22.86,0.26%,36.42%,-61175700.0
3937,300633,开立医疗,34.51,0.26%,7.26%,-89594300.0
3938,300388,节能国祯,7.68,0.26%,7.25%,-43206200.0
3939,300381,溢多利,7.76,0.26%,11.39%,-40793900.0
3940,300122,智飞生物,23.16,0.26%,16.91%,-381000000.0
3941,970,中科三环,15.15,0.26%,50.74%,-451000000.0
3942,605116,奥锐特,23.98,0.25%,10.31%,-162000000.0
3943,603311,金海高科,11.82,0.25%,9.28%,-3667500.0
3944,603666,亿嘉和,32.38,0.25%,19.57%,3449100.0000000005
3945,601000,唐山港,4.04,0.25%,3.31%,-140000000.0
3946,600968,海油发展,4.04,0.25%,4.35%,-206999999.99999997
3947,300331,苏大维格,23.68,0.25%,43.23%,-96513400.0
3948,300001,特锐德,23.68,0.25%,8.09%,-43669500.0
3949,2523,天桥起重,3.96,0.25%,14.54%,-102000000.0
3950,600867,通化东宝,8.46,0.24%,7.34%,-8833600.0
3951,2061,浙江交科,4.1,0.24%,5.85%,-65238800.0
3952,688576,西山科技,71.17,0.23%,12.76%,-3652900.0
3953,300180,华峰超纤,8.87,0.23%,42.77%,-534999999.99999994
3954,301182,凯旺科技,36.96,0.22%,26.39%,9599500.0
3955,688161,威高骨科,31.37,0.22%,3.01%,-30581700.0
3956,605158,华达新材,9.1,0.22%,6.22%,-16194200.0
3957,600572,康恩贝,4.65,0.22%,9.03%,-60187400.0
3958,300120,经纬辉开,9.15,0.22%,24.84%,-106000000.0
3959,688739,成大生物,29.08,0.21%,3.73%,-22362199.999999996
3960,688135,利扬芯片,23.35,0.21%,23.16%,-96515200.0
3961,603739,蔚蓝生物,15.19,0.20%,16.54%,-48530100.0
3962,688268,华特气体,60.59,0.20%,18.73%,-136000000.0
3963,600598,北大荒,15.0,0.20%,7.76%,-152000000.0
3964,600283,钱江水利,9.89,0.20%,5.95%,-47297800.0
3965,2040,南京港,10.11,0.20%,24.62%,-91262600.0
3966,955,欣龙控股,4.99,0.20%,14.63%,-11322300.0
3967,688395,正弦电气,26.26,0.19%,19.61%,-49016100.0
3968,300971,博亚精工,21.49,0.19%,29.52%,-16257600.0
