序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2024预测每股收益,2025预测每股收益,2026预测每股收益,2027预测每股收益
154,600438,通威股份,22,12.0,10.0,0.0,0.0,0.0,-1.563476961829,-1.167695652174,0.512608695652,1.108545454545
155,000963,华东医药,22,18.0,4.0,0.0,0.0,0.0,2.00231615354,2.279227272727,2.594090909091,2.911857142857
156,002572,索菲亚,22,17.0,5.0,0.0,0.0,0.0,1.423548298908,1.255608695652,1.418217391304,1.534045454545
157,603993,洛阳钼业,22,17.0,5.0,0.0,0.0,0.0,0.632506254776,0.770909090909,0.877727272727,0.955714285714
158,603899,晨光股份,22,18.0,4.0,0.0,0.0,0.0,1.515623550289,1.59747826087,1.785695652174,1.989681818182
159,603997,继峰股份,22,15.0,7.0,0.0,0.0,0.0,-0.446999355483,0.455454545455,0.786818181818,1.030476190476
160,688008,澜起科技,22,15.0,6.0,1.0,0.0,0.0,1.232831754725,2.065714285714,2.738571428571,3.509473684211
161,300502,新易盛,22,19.0,3.0,0.0,0.0,0.0,2.855022696215,8.407571428571,12.532333333333,15.558952380952
162,002601,龙佰集团,21,13.0,8.0,0.0,0.0,0.0,0.90876731959,1.192380952381,1.501428571429,1.74
163,002493,荣盛石化,21,15.0,5.0,1.0,0.0,0.0,0.072525038739,0.238571428571,0.400952380952,0.5515
164,605338,巴比食品,21,14.0,7.0,0.0,0.0,0.0,1.154556759362,1.15619047619,1.279523809524,1.3915
165,002532,天山铝业,21,15.0,6.0,0.0,0.0,0.0,0.957763904522,1.021904761905,1.249523809524,1.434
166,600779,水井坊,21,11.0,10.0,0.0,0.0,0.0,2.750810626272,2.20819047619,2.353523809524,2.5578
167,002487,大金重工,21,17.0,4.0,0.0,0.0,0.0,0.743042494364,1.64335,2.2303,2.898578947368
168,600900,长江电力,21,17.0,4.0,0.0,0.0,0.0,1.328097256034,1.399952380952,1.472380952381,1.52435
169,300832,新产业,21,14.0,7.0,0.0,0.0,0.0,2.327113279174,2.862782608696,3.380913043478,4.069272727273
170,002837,英维克,21,13.0,8.0,0.0,0.0,0.0,0.463531462681,0.695380952381,1.091666666667,1.5541
171,600258,首旅酒店,21,13.0,8.0,0.0,0.0,0.0,0.722112680428,0.815476190476,0.933476190476,1.042238095238
172,600030,中信证券,21,14.0,7.0,0.0,0.0,0.0,1.464432914888,1.7875,1.976,2.176666666667
173,600183,生益科技,21,16.0,5.0,0.0,0.0,0.0,0.715718951452,1.24919047619,1.658619047619,2.080714285714
174,601021,春秋航空,21,16.0,5.0,0.0,0.0,0.0,2.323281861341,2.53880952381,3.150857142857,3.75245
175,000938,紫光股份,21,12.0,9.0,0.0,0.0,0.0,0.549786910339,0.737047619048,0.900904761905,1.0788
176,603170,宝立食品,21,11.0,10.0,0.0,0.0,0.0,0.583075270118,0.667047619048,0.771095238095,0.8777
177,603979,金诚信,21,15.0,6.0,0.0,0.0,0.0,2.539075869682,3.631428571429,4.153333333333,4.8595
178,300972,万辰集团,21,13.0,8.0,0.0,0.0,0.0,1.553919358127,5.585857142857,7.896523809524,9.95535
179,688301,奕瑞科技,21,16.0,4.0,1.0,0.0,0.0,2.200336308139,3.681904761905,4.579047619048,5.588095238095
180,002821,凯莱英,21,14.0,7.0,0.0,0.0,0.0,2.631632175957,3.170909090909,3.720909090909,4.407142857143
181,600882,妙可蓝多,21,11.0,10.0,0.0,0.0,0.0,0.22276224789,0.466666666667,0.660952380952,0.8935
182,600096,云天化,21,17.0,4.0,0.0,0.0,0.0,2.925390106117,3.114285714286,3.255238095238,3.376
183,002241,歌尔股份,21,13.0,8.0,0.0,0.0,0.0,0.761320765001,0.972857142857,1.214761904762,1.469047619048
184,688775,影石创新,21,9.0,11.0,1.0,0.0,0.0,2.480671196434,2.93972,4.19476,5.893666666667
185,601688,华泰证券,21,14.0,7.0,0.0,0.0,0.0,1.700608615084,1.7945,1.977,2.175555555556
186,688677,海泰新光,21,15.0,6.0,0.0,0.0,0.0,1.129061831043,1.486363636364,1.846363636364,2.262727272727
187,000528,柳工,21,19.0,2.0,0.0,0.0,0.0,0.653006239772,0.931952380952,1.253,1.62885
188,002705,新宝股份,21,14.0,7.0,0.0,0.0,0.0,1.296797830846,1.440952380952,1.609047619048,1.792
189,600660,福耀玻璃,21,15.0,6.0,0.0,0.0,0.0,2.873070104806,3.683333333333,4.204761904762,4.8605
190,603893,瑞芯微,21,16.0,5.0,0.0,0.0,0.0,1.413246110553,2.526380952381,3.356238095238,4.324857142857
191,300638,广和通,21,15.0,6.0,0.0,0.0,0.0,0.872638489169,0.733047619048,0.933761904762,1.158142857143
192,603816,顾家家居,21,16.0,5.0,0.0,0.0,0.0,1.724434786735,2.294409090909,2.506090909091,2.74019047619
193,603737,三棵树,21,9.0,12.0,0.0,0.0,0.0,0.449893219241,1.276590909091,1.6185,1.983
194,601336,新华保险,20,16.0,4.0,0.0,0.0,0.0,8.407952617217,9.673333333333,10.076,10.718
