成交时间,股票代码,股票简称,成交价格,成交量,成交额,大单性质,涨跌幅,涨跌额
2025-08-12 15:00:00,300875,捷强装备,60.42,8700,52.57,卖盘,-6.85%,-4.14
2025-08-12 15:00:00,300875,捷强装备,60.42,9900,59.82,买盘,-6.85%,-4.14
2025-08-12 15:00:00,300875,捷强装备,60.42,11400,68.88,买盘,-6.85%,-4.14
2025-08-12 15:00:00,300857,协创数据,85.66,136700,1170.97,买盘,11.29%,9.67
2025-08-12 15:00:00,300857,协创数据,85.66,6000,51.4,卖盘,11.29%,9.67
2025-08-12 15:00:00,300857,协创数据,85.66,10000,85.66,买盘,11.29%,9.67
2025-08-12 15:00:00,300857,协创数据,85.66,6300,53.97,买盘,11.29%,9.67
2025-08-12 15:00:00,300857,协创数据,85.66,30800,263.83,卖盘,11.29%,9.67
2025-08-12 15:00:00,300857,协创数据,85.66,6000,51.4,买盘,11.29%,9.67
2025-08-12 15:00:00,300857,协创数据,85.66,22100,189.31,买盘,11.29%,9.67
2025-08-12 15:00:00,300850,新强联,38.75,13100,50.76,卖盘,-0.49%,-0.19
2025-08-12 15:00:00,300850,新强联,38.75,28200,109.28,买盘,-0.49%,-0.19
2025-08-12 15:00:00,300850,新强联,38.75,22800,88.35,买盘,-0.49%,-0.19
2025-08-12 15:00:00,300840,酷特智能,23.48,24400,57.29,买盘,1.60%,0.38
2025-08-12 15:00:00,300840,酷特智能,23.48,25400,59.64,买盘,1.60%,0.38
2025-08-12 15:00:00,300840,酷特智能,23.48,41000,96.27,买盘,1.60%,0.38
2025-08-12 15:00:00,301076,新瀚新材,47.73,30000,143.19,买盘,-4.06%,-1.94
2025-08-12 15:00:00,301067,显盈科技,36.9,40000,147.6,买盘,1.10%,0.4
2025-08-12 15:00:00,301057,汇隆新材,21.31,31400,66.91,买盘,4.56%,0.97
2025-08-12 15:00:00,301629,矽电股份,159.0,11600,184.44,卖盘,1.81%,2.87
2025-08-12 15:00:00,300818,耐普矿机,25.05,21824,54.67,卖盘,1.25%,0.31
2025-08-12 15:00:00,300816,艾可蓝,39.58,28000,110.82,卖盘,1.88%,0.74
2025-08-12 15:00:00,300816,艾可蓝,39.58,21200,83.91,卖盘,1.88%,0.74
2025-08-12 15:00:00,300815,玉禾田,29.5,30000,88.5,卖盘,20.02%,5.9
2025-08-12 15:00:00,300815,玉禾田,29.5,26700,78.76,卖盘,20.02%,5.9
2025-08-12 15:00:00,300810,中科海讯,44.84,11900,53.36,买盘,-2.69%,-1.21
2025-08-12 15:00:00,300803,指南针,92.94,11500,106.88,买盘,1.83%,1.7
