序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1475,2251,步步高,4.83,0.42%,4.47%,2.21亿,2.27亿,-626.83万,4.48亿
1476,2223,鱼跃医疗,35.74,0.42%,1.24%,2.33亿,1.85亿,4796.54万,4.19亿
1477,2048,宁波华翔,21.33,0.42%,3.62%,2.48亿,2.93亿,-4515.87万,5.41亿
1478,731,四川美丰,7.13,0.42%,1.92%,4507.70万,3163.86万,1343.85万,7671.55万
1479,301479,弘景光电,90.71,0.41%,8.53%,6941.28万,8424.40万,-1483.12万,1.54亿
1480,301257,普蕊斯,39.35,0.41%,2.67%,3701.89万,4154.84万,-452.95万,7856.73万
1481,301237,和顺科技,38.84,0.41%,2.59%,1669.24万,2235.70万,-566.46万,3904.93万
1482,688235,百济神州,229.92,0.41%,2.56%,3.06亿,3.63亿,-5654.62万,6.69亿
1483,601177,杭齿前进,19.67,0.41%,12.86%,4.57亿,5.73亿,-1.16亿,10.29亿
1484,600717,天津港,4.94,0.41%,1.92%,1.51亿,1.23亿,2807.17万,2.74亿
1485,600522,中天科技,14.59,0.41%,2.87%,7.96亿,6.31亿,1.64亿,14.27亿
1486,301121,紫建电子,43.74,0.41%,7.27%,8055.00万,7969.47万,85.53万,1.60亿
1487,300193,佳士科技,9.8,0.41%,2.21%,4025.87万,5059.56万,-1033.69万,9085.43万
1488,2938,鹏鼎控股,51.84,0.41%,1.60%,9.15亿,9.88亿,-7293.60万,19.03亿
1489,2119,康强电子,17.21,0.41%,5.63%,1.84亿,1.79亿,495.81万,3.62亿
1490,688075,安旭生物,43.1,0.40%,0.80%,2039.74万,2343.92万,-304.18万,4383.66万
1491,301419,阿莱德,32.7,0.40%,26.37%,1.68亿,2.06亿,-3867.26万,3.74亿
1492,1227,兰州银行,2.49,0.40%,1.43%,8757.38万,6210.46万,2546.92万,1.50亿
1493,2207,准油股份,7.56,0.40%,5.66%,5944.22万,5144.02万,800.20万,1.11亿
1494,605368,蓝天燃气,10.14,0.40%,0.79%,3343.14万,2368.69万,974.45万,5711.82万
1495,603733,仙鹤股份,25.35,0.40%,1.28%,1.10亿,1.18亿,-786.59万,2.29亿
1496,603985,恒润股份,17.68,0.40%,2.94%,1.06亿,1.23亿,-1753.54万,2.29亿
1497,600480,凌云股份,12.62,0.40%,1.78%,1.30亿,1.40亿,-1043.08万,2.70亿
1498,600373,中文传媒,10.09,0.40%,0.69%,6003.49万,3350.96万,2652.54万,9354.46万
1499,600327,大东方,5.0,0.40%,2.08%,4672.68万,4527.76万,144.92万,9200.44万
1500,600239,云南城投,2.48,0.40%,1.22%,2244.66万,2638.16万,-393.50万,4882.82万
1501,600076,康欣新材,2.48,0.40%,1.05%,1605.62万,1860.60万,-254.98万,3466.21万
1502,300292,吴通控股,4.98,0.40%,3.20%,9099.36万,8595.30万,504.06万,1.77亿
1503,2423,中粮资本,12.45,0.40%,1.12%,1.58亿,1.64亿,-675.45万,3.22亿
1504,2311,海大集团,57.78,0.40%,0.28%,1.36亿,1.35亿,133.38万,2.70亿
1505,796,凯撒旅业,5.01,0.40%,5.76%,1.77亿,2.07亿,-3007.21万,3.84亿
1506,755,山西高速,5.04,0.40%,0.49%,2190.79万,1429.87万,760.92万,3620.65万
1507,510,新金路,5.19,0.39%,6.65%,9828.65万,1.04亿,-534.06万,2.09亿
1508,301123,奕东电子,33.38,0.39%,6.75%,2.61亿,2.66亿,-433.08万,5.27亿
1509,601059,信达证券,17.82,0.39%,5.68%,3.26亿,3.74亿,-4762.80万,7.00亿
1510,301328,维峰电子,46.73,0.39%,6.59%,5306.71万,5153.60万,153.12万,1.05亿
1511,605599,菜百股份,15.56,0.39%,0.47%,2662.82万,3055.47万,-392.65万,5718.29万
1512,688020,方邦股份,54.22,0.39%,5.86%,1.15亿,1.39亿,-2452.21万,2.54亿
1513,300396,迪瑞医疗,15.42,0.39%,3.85%,7425.58万,8901.06万,-1475.48万,1.63亿
1514,300323,华灿光电,7.74,0.39%,2.42%,8083.11万,8300.36万,-217.25万,1.64亿
1515,2945,华林证券,15.48,0.39%,0.63%,1.41亿,1.22亿,1900.32万,2.63亿
1516,2440,闰土股份,7.67,0.39%,1.06%,4092.03万,3676.55万,415.47万,7768.57万
1517,2079,苏州固锝,10.22,0.39%,1.98%,8448.53万,7853.31万,595.22万,1.63亿
1518,829,天音控股,10.36,0.39%,1.43%,7876.76万,7246.90万,629.86万,1.51亿
1519,599,青岛双星,5.15,0.39%,1.75%,3562.95万,3795.96万,-233.00万,7358.91万
1520,300268,*ST佳沃,10.49,0.38%,0.66%,441.95万,487.31万,-45.36万,929.26万
1521,601133,柏诚股份,13.37,0.38%,10.44%,1.01亿,1.04亿,-368.30万,2.05亿
1522,688381,帝奥微,24.05,0.38%,3.30%,7254.68万,7270.54万,-15.86万,1.45亿
1523,601010,文峰股份,2.64,0.38%,1.77%,4600.63万,4075.03万,525.59万,8675.66万
1524,600745,闻泰科技,36.55,0.38%,1.55%,3.22亿,3.85亿,-6257.35万,7.08亿
1525,600738,丽尚国潮,5.35,0.38%,1.62%,2865.11万,3730.99万,-865.88万,6596.11万
1526,2925,盈趣科技,18.59,0.38%,1.37%,9033.25万,9822.70万,-789.46万,1.89亿
1527,2461,珠江啤酒,10.47,0.38%,0.31%,3938.83万,3293.22万,645.61万,7232.05万
1528,688717,艾罗能源,62.12,0.37%,2.79%,8511.79万,8145.72万,366.08万,1.67亿
1529,603230,内蒙新华,13.49,0.37%,0.66%,1534.60万,1616.62万,-82.01万,3151.21万
1530,688271,联影医疗,131.17,0.37%,0.94%,3.82亿,3.61亿,2032.64万,7.43亿
1531,301028,东亚机械,13.71,0.37%,2.34%,3947.83万,3963.68万,-15.85万,7911.51万
1532,300985,致远新能,19.11,0.37%,1.70%,3156.29万,2867.52万,288.77万,6023.81万
1533,603505,金石资源,16.32,0.37%,1.29%,9012.30万,8797.52万,214.79万,1.78亿
1534,603323,苏农银行,5.4,0.37%,0.90%,4924.88万,4849.78万,75.10万,9774.66万
