序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
4004,001313,粤海饲料,7.84,-17.12,5148.0,-1.13,-14.39,5448,-1.38,-9.16,5319,-1.63,农牧饲渔
4005,001266,宏英智能,29.81,-14.43,4899.0,-1.13,-6.06,4239,0.03,-6.99,4748,-1.09,仪器仪表
4006,301225,恒勃股份,83.29,-7.33,3634.0,-1.13,-2.43,2881,2.16,-3.52,3573,-1.37,汽车零部件
4007,603595,东尼电子,19.15,-9.95,4219.0,-1.14,-8.02,4703,-0.16,-8.59,5012,-3.33,消费电子
4008,002932,明德生物,21.67,-7.66,3709.0,-1.14,-7.4,4832,-5.21,-4.01,3860,-1.14,医疗器械
4009,002783,凯龙股份,10.4,-2.66,2461.0,-1.14,-3.43,3409,3.28,-5.04,4359,1.27,化学制品
4010,300503,昊志机电,24.3,-18.4,5246.0,-1.14,-8.69,5067,-1.62,-6.46,4869,1.38,通用设备
4011,601615,明阳智能,11.29,-10.29,4267.0,-1.14,-7.22,4798,1.71,-5.75,4645,-2.5,风电设备
4012,002105,信隆健康,7.83,-4.16,2837.0,-1.14,-0.79,2031,1.69,0.37,1147,3.71,交运设备
4013,002558,巨人网络,28.5,-11.38,4459.0,-1.14,-2.7,3012,2.33,1.69,625,17.53,游戏
4014,603409,汇通控股,36.34,-15.03,4966.0,-1.14,-4.06,3721,-1.94,-1.39,2137,0.22,汽车零部件
4015,601388,怡球资源,2.61,-22.16,5387.0,-1.14,-3.53,3466,-0.38,-1.03,1911,-1.88,有色金属
4016,688005,容百科技,22.47,-11.49,4477.0,-1.14,-0.72,2004,5.3,-4.61,4162,-4.59,电池
